StarID,JH,YJ
0,2.45,-0.7
1,2.19,-0.25
2,1.95,-0.31
3,1.5,-0.1
5,2.35,-0.53
7,1.85,-0.14
8,1.0,-1.06
9,1.71,-0.12
10,1.67,0.02
11,1.58,-0.02
12,1.52,-0.04
13,1.66,-1.04
14,1.52,-0.04
15,2.34,-0.7
16,1.79,0.0
21,1.7,0.15
22,1.61,-0.05
24,1.65,0.07
25,1.58,-0.09
26,1.49,-0.34
27,1.46,0.04
28,1.53,-0.04
29,1.6,0.0
30,1.64,0.02
31,1.49,-0.16
32,1.52,-0.15
34,1.56,0.05
35,1.54,-0.08
37,1.61,-0.01
39,1.53,-0.11
40,1.48,0.02
41,1.61,-0.02
42,1.45,0.02
43,1.54,0.12
44,1.54,-0.07
46,1.59,-0.04
47,1.57,0.09
48,1.59,0.15
50,1.53,-0.02
51,1.37,-0.37
52,1.55,-0.11
54,2.25,-0.61
55,1.57,-0.15
56,1.52,-0.15
57,1.47,0.03
58,1.3,-0.28
59,1.58,-0.05
60,1.64,0.02
61,1.55,0.2
62,1.66,0.03
64,1.7,0.05
68,1.55,0.02
69,1.54,-0.09
70,0.97,-0.56
71,1.49,-0.18
72,1.6,-0.03
73,1.43,0.03
75,1.25,-0.49
77,2.64,-0.53
78,1.62,-0.19
80,1.42,-0.15
81,1.74,0.17
82,1.66,0.02
83,1.72,0.11
84,1.59,-0.09
85,1.15,-0.43
87,1.71,-0.05
88,1.62,0.11
89,1.64,-0.05
91,1.44,-0.23
92,1.82,0.03
93,1.56,0.09
94,1.47,0.02
95,1.16,-0.27
96,1.88,0.14
97,0.43,0.2
98,1.55,-0.07
99,1.53,-0.02
100,1.78,0.16
101,1.28,-0.21
102,1.41,0.17
104,1.6,-0.12
106,1.47,0.15
107,1.65,0.09
110,1.66,0.1
111,1.57,0.03
113,1.63,-0.07
115,1.56,-0.15
116,1.52,-0.17
117,1.53,-0.14
118,1.7,-0.1
119,1.63,-0.03
122,1.57,-0.13
123,1.57,-0.62
124,1.29,-0.27
125,1.31,-0.21
126,1.07,0.15
127,1.51,-0.06
128,1.28,-0.3
129,0.81,-0.93
130,1.47,-0.52
131,0.96,-1.94
132,1.51,0.02
133,2.58,-1.14
135,1.55,-0.05
137,1.38,-0.16
138,2.1,-1.15
139,1.58,-0.21
141,1.56,-0.08
142,1.36,0.05
143,1.4,-0.26
144,1.43,0.05
145,1.42,-0.2
147,1.69,0.16
148,1.57,0.09
150,1.49,0.12
152,1.66,-0.24
153,1.54,0.11
154,1.59,-0.41
155,1.28,-0.16
156,1.47,-0.1
158,1.47,-0.06
159,1.63,-0.21
160,1.26,-0.09
161,1.36,-0.18
163,1.7,0.2
164,1.54,0.06
165,1.56,-0.13
166,1.26,-0.23
167,1.36,0.04
168,1.77,0.1
169,1.63,-0.04
170,1.61,-0.06
171,1.48,-0.06
172,1.67,0.1
173,1.6,0.0
175,1.61,0.01
177,1.7,-0.25
178,1.52,-0.04
179,1.14,-0.35
180,0.93,-0.04
181,1.42,0.06
182,1.41,0.07
184,1.18,-0.19
185,1.18,-0.43
186,1.72,0.07
187,1.67,-0.06
188,0.95,-0.67
190,1.7,0.16
191,1.15,-0.24
192,1.45,-0.04
193,1.53,-0.17
194,1.65,0.1
195,1.56,-0.18
196,1.5,0.01
197,1.39,-0.23
198,1.35,0.15
