StarID,AverageFlux,Ks1Flux,Ks1Fluxerr,Ks2Flux,Ks2Fluxerr,Ks3Flux,Ks3Fluxerr
0,9055.49,7069.91,182.45,4714.6,144.59,15381.97,179.2
1,8808.17,6769.28,182.1,5876.42,146.33,13778.82,178.48
2,8447.66,5915.77,182.06,5616.17,145.08,13811.03,178.43
4,10683.84,7280.18,178.5,7631.56,176.5,17139.77,182.53
5,12822.83,9976.3,183.77,7125.33,147.0,21366.84,182.21
6,11360.58,8246.35,183.36,6672.93,145.69,19162.45,181.07
7,6144.55,4280.44,181.28,4168.16,144.34,9985.04,176.52
8,17969.95,13750.52,180.86,6728.85,208.52,33430.48,190.69
9,9552.17,6700.44,182.45,7406.98,146.03,14549.08,178.81
10,9581.6,6865.19,182.56,7240.44,145.95,14639.18,178.85
12,8609.94,6000.87,177.92,6917.74,175.07,12911.21,180.41
13,6800.21,4675.23,181.36,2252.08,187.65,13473.33,181.5
15,8036.46,6221.31,184.55,3522.49,190.62,14365.58,182.93
16,7151.2,5090.97,181.63,5157.9,145.48,11204.75,177.14
21,43363.12,30369.31,194.33,33153.04,160.26,66567.0,203.05
22,15600.87,10038.31,179.5,12794.93,180.05,23969.38,186.05
23,9180.94,6560.92,182.38,6876.09,146.33,14105.82,178.58
24,10591.96,7835.31,183.05,7736.54,146.81,16204.03,179.62
27,22514.79,15238.68,182.17,18974.41,215.05,33331.3,190.59
28,8301.12,5431.84,181.25,6557.49,175.12,12914.04,180.21
31,6835.77,4399.49,180.55,5414.65,189.99,10693.16,180.24
32,10713.92,7411.42,178.6,8368.3,180.14,16362.03,182.48
33,10725.32,7567.19,178.72,6533.6,208.13,18075.17,182.96
34,8275.5,5624.21,181.89,6086.46,145.92,13115.83,178.1
35,12790.91,7874.31,182.47,10176.71,192.75,20321.71,185.02
37,14385.71,9261.26,183.28,11598.81,193.3,22297.07,185.99
39,8697.68,5542.16,177.25,6920.09,178.21,13630.79,180.99
40,7878.69,5556.73,181.86,5516.71,145.6,12562.63,177.82
42,39564.61,25969.54,192.25,29293.01,201.65,63431.27,204.88
43,9106.33,6560.47,182.39,6671.56,146.22,14086.96,178.58
44,14088.03,9003.02,178.89,11594.71,180.3,21666.38,184.97
46,7815.51,5226.02,177.05,6469.88,177.68,11750.64,180.1
48,11904.71,8824.0,183.56,8835.62,147.36,18054.51,180.53
49,7739.6,6090.5,182.14,5677.94,145.11,11450.37,177.26
50,9654.41,5893.12,182.0,7563.94,192.0,15506.17,182.57
52,12523.65,7132.9,192.05,10663.85,171.78,19774.2,182.54
53,9091.62,6726.63,191.8,7056.03,169.83,13492.21,179.44
54,46287.72,32315.41,195.19,20592.5,197.19,85955.24,214.61
56,13489.78,11124.54,194.23,9723.35,171.28,19621.45,182.46
59,12084.74,7689.48,182.97,9323.89,191.26,19240.84,184.37
61,8410.57,5593.05,193.45,6129.9,173.5,13508.75,181.96
62,33679.15,21431.96,190.06,26365.46,199.59,53240.02,200.32
65,9232.72,6810.46,182.57,5971.16,145.29,14916.54,178.98
66,11575.02,8578.09,183.48,8497.8,147.26,17649.17,180.35
67,22760.66,15345.24,186.96,15663.79,151.04,37272.95,189.74
68,13385.54,8984.4,183.02,10885.48,184.16,20286.74,183.82
69,8684.14,6158.79,181.85,6941.39,175.41,12952.23,180.15
70,15962.04,10197.1,193.65,12455.58,172.72,25233.44,185.19
71,10295.85,6498.96,182.26,8177.12,190.84,16211.47,182.88
72,8510.55,5209.18,181.76,7004.53,190.21,13317.93,181.47
74,13510.67,9265.49,188.59,5426.21,209.11,25840.3,203.6
76,9463.94,6762.94,181.9,8164.43,191.68,13464.47,181.66
77,111313.79,99010.67,235.71,61928.23,197.25,173002.45,246.53
78,10135.99,5665.77,186.77,8016.55,208.24,16725.65,198.32
80,9558.26,6890.34,187.39,6534.31,160.59,15250.12,198.83
81,45206.99,31617.07,195.06,31704.8,159.05,72299.1,205.47
82,13422.52,8395.62,183.12,11199.29,192.07,20672.66,185.11
83,21128.22,14969.17,186.73,15001.88,150.6,33413.63,187.93
86,12043.58,7965.01,187.9,6481.77,209.68,21683.96,201.58
87,42731.4,27218.84,188.45,34909.04,192.91,66066.31,205.44
90,6297.23,4411.1,181.29,4647.15,145.14,9833.45,176.47
91,10844.24,5978.39,186.94,8602.11,208.71,17952.22,198.92
93,11419.05,7652.78,189.98,8797.67,170.4,17806.69,190.7
94,20436.68,13242.01,211.74,14002.93,186.99,34065.1,201.57
96,88205.87,55947.3,206.66,56914.9,171.01,151755.41,237.29
97,60627.58,113051.86,236.5,28087.73,171.74,40743.15,211.17
98,7234.12,4650.69,181.1,5765.89,190.35,11285.78,180.53
99,9936.8,6508.31,177.63,8210.32,178.5,15091.77,181.74
100,21191.81,15962.49,187.32,12884.91,149.71,34728.05,188.56
102,10476.18,5667.33,207.5,8297.56,183.78,17463.64,193.87
109,17609.25,13393.94,192.97,14307.82,164.78,25125.99,194.2
110,11920.38,7714.94,192.25,9152.81,171.0,18893.4,182.12
111,10774.28,7699.12,189.97,8125.79,170.45,16497.93,188.06
113,8448.46,4739.97,176.79,7187.37,178.58,13418.04,180.95
114,18486.98,14944.46,187.59,15828.79,151.06,24687.68,183.78
115,7346.24,4855.54,177.17,5834.18,175.6,11349.01,179.72
116,8081.78,5391.61,177.5,6703.25,175.38,12150.47,180.12
117,9244.23,6037.77,177.46,7543.26,177.81,14151.66,181.26
118,20112.87,12370.23,178.41,15240.58,217.39,32727.79,204.58
119,9799.97,6029.36,181.8,7644.95,190.18,15725.59,182.64
120,9687.3,6230.34,175.5,7176.78,213.34,15654.78,196.41
122,13834.84,8847.01,186.27,10458.21,187.9,22199.31,191.26
124,17777.87,13586.8,190.31,15317.98,165.34,24428.83,203.22
125,8993.3,6413.3,187.59,4784.73,186.26,15781.88,198.98
129,204240.46,322511.56,316.58,163148.27,239.29,127061.56,229.07
130,8034.38,4817.38,174.62,6138.94,212.44,13146.81,195.03
131,91685.48,92365.96,215.62,69300.31,244.16,113390.18,239.96
132,45667.42,35411.6,201.31,46093.46,182.12,55497.2,217.9
133,17754.29,12373.82,197.28,10073.51,174.6,30815.55,204.99
135,10548.74,6712.69,181.62,8544.27,183.86,16389.25,183.15
138,19663.61,8301.83,189.55,3818.3,208.31,46870.71,213.57
139,11389.01,7582.76,182.46,8389.68,212.64,18194.6,200.09
142,10124.72,6627.93,193.83,6812.35,172.84,16933.88,198.21
147,20873.99,14807.38,186.67,15594.38,150.91,32220.19,187.36
148,11264.98,8146.26,183.3,8376.05,147.18,17272.65,180.17
150,34422.37,23191.69,197.95,26232.55,171.05,53842.86,207.52
152,8733.53,5412.5,181.15,6624.93,211.63,14163.16,197.93
153,19574.96,13085.23,192.82,15153.84,165.59,30485.82,196.76
154,18079.81,10581.48,177.37,13069.36,216.16,30588.6,203.56
156,9705.41,8321.68,188.03,7027.44,162.39,13767.1,198.05
157,6755.33,4559.14,186.05,4325.27,159.35,11381.58,196.86
158,8986.16,7131.77,187.41,5454.84,162.01,14371.87,198.36
160,10687.17,8090.87,187.9,9122.37,161.93,14848.28,198.61
163,36749.71,25871.81,192.22,25671.67,156.06,58705.67,199.51
164,8674.24,6397.41,182.29,6159.86,145.94,13465.43,178.28
165,11686.32,7691.56,178.74,9602.81,176.04,17764.59,182.8
168,107257.75,71587.86,208.85,88751.0,216.71,161434.39,243.72
171,11527.85,7827.69,178.38,9480.82,209.99,17275.03,182.85
173,15315.44,9820.63,179.24,12502.01,181.36,23623.68,185.98
175,23054.48,16706.0,194.65,17470.68,175.33,34986.77,199.34
177,7036.23,4755.91,190.75,4783.03,168.61,11569.74,178.47
178,7656.53,4661.71,183.92,5942.99,191.53,12364.9,181.9
180,106833.52,113061.95,235.7,132447.05,219.56,74991.56,226.36
181,10993.11,7154.99,194.11,7945.67,175.26,17878.68,198.03
183,10598.31,7526.84,209.81,7242.45,180.17,17025.64,193.61
184,8786.31,5996.21,198.37,6638.67,208.8,13724.06,194.86
186,34450.66,21609.73,190.18,26818.15,200.38,54924.11,201.1
187,39485.88,24597.32,218.56,29349.01,194.63,64511.32,215.84
188,29348.25,22419.88,212.32,27635.83,220.78,37989.04,209.24
189,9485.99,5578.76,198.15,6897.33,193.06,15981.89,198.61
190,8725.25,6445.96,182.52,6911.25,147.41,12818.54,178.02
191,15759.55,10397.76,189.11,12198.01,211.82,24682.88,198.81
192,12454.69,9326.19,188.57,9406.09,162.07,18631.78,200.48
193,8767.27,5964.77,186.79,7509.29,188.47,12827.73,197.6
198,26839.05,21692.74,216.12,12522.6,184.47,46301.8,207.18
199,6756.28,6477.22,187.2,3062.62,158.72,10729.01,196.59
200,11244.31,7338.82,178.14,9145.01,177.86,17249.1,182.83
201,9726.27,6132.05,181.98,7709.68,190.4,15337.09,182.49
202,103822.32,60051.86,203.75,73217.34,210.15,178197.77,249.82
204,9824.0,6418.4,177.59,7835.82,178.88,15217.78,181.8
205,9565.06,6148.08,182.24,8187.02,190.29,14360.07,181.94
207,42107.31,26844.03,189.38,33451.6,206.87,66026.29,220.51
208,10936.61,7461.78,175.74,6439.44,212.62,18908.6,197.88
209,13269.71,8415.31,185.94,10096.29,194.15,21297.53,199.74
211,13923.41,10692.28,184.43,10679.83,149.45,20398.11,181.76
212,13006.32,8603.71,195.5,10274.58,174.73,20140.66,199.86
213,11213.52,6839.92,194.57,8829.79,173.96,17970.85,198.8
216,11699.69,8637.98,183.48,7157.89,146.54,19303.2,181.15
217,30361.52,23075.56,190.84,22084.09,154.23,45924.92,193.76
218,12653.62,9227.38,183.78,9022.47,147.48,19711.0,181.36
219,16274.78,12513.74,185.47,12060.71,149.07,24249.89,183.57
220,12101.74,7874.82,182.79,9564.82,192.01,18865.59,184.25
221,7436.59,4541.02,181.11,5760.18,189.54,12008.57,180.83
223,7645.56,5332.03,180.52,5324.92,180.96,12279.74,196.82
224,14193.94,9041.36,183.56,11405.63,199.36,22134.82,185.78
225,23589.8,15136.79,191.46,17000.81,188.11,38631.79,209.78
226,12440.81,7641.31,182.19,8867.15,182.48,20813.97,201.29
230,60743.17,85608.46,231.98,32263.39,185.99,64357.64,220.45
233,15363.2,10654.04,188.89,11959.82,164.92,23475.74,202.66
240,143825.78,153856.33,255.16,144550.67,222.56,133070.33,240.8
241,136410.51,86593.47,215.54,108963.73,225.72,213674.33,262.28
242,8941.54,5776.39,177.25,7179.98,176.64,13868.26,181.1
243,8011.41,5082.68,181.61,6130.34,189.18,12821.21,181.2
245,10960.71,7060.53,182.63,9114.62,190.97,16706.98,183.1
248,16999.5,11790.65,184.8,14561.69,194.03,24646.15,187.1
249,12532.9,8757.9,195.37,9446.35,174.26,19394.46,199.45
251,9168.61,6433.18,195.96,6448.71,183.1,14623.94,183.34
253,11137.06,8632.78,188.23,7953.45,161.3,16824.94,199.6
255,26844.09,18269.63,187.26,19641.24,188.19,42621.39,211.51
256,7095.41,4651.15,180.23,5366.26,181.0,11268.81,196.33
257,17797.47,12023.58,183.88,13490.12,216.39,27878.71,202.37
260,51881.79,39235.29,203.23,27099.49,195.88,89310.6,232.35
262,8719.24,6534.25,187.14,6505.91,160.53,13117.56,197.76
263,45440.86,31868.32,195.19,31319.22,158.85,73135.03,205.83
265,73270.63,52010.75,204.79,51610.99,168.53,116190.14,223.61
267,16196.43,10395.93,184.34,13020.03,193.6,25173.33,187.3
268,13402.15,8731.08,183.3,10722.68,192.01,20752.69,185.09
269,10770.14,6804.17,185.34,8369.03,192.8,17137.21,197.7
272,56653.36,35237.84,212.76,61821.07,236.69,72901.16,222.68
273,26688.03,17957.14,200.13,20428.38,180.0,41678.58,210.14
274,13388.71,9069.98,195.39,10562.88,186.84,20533.25,200.7
275,11233.02,7793.06,198.37,9935.7,185.61,15970.29,199.0
282,9314.04,5919.27,182.1,7389.36,190.23,14633.48,182.08
284,19085.23,13183.49,192.79,14391.43,164.87,29680.78,196.6
288,8620.25,5302.56,183.98,6479.56,173.53,14078.62,196.14
294,34576.73,25963.11,206.55,25765.46,192.81,52001.63,200.69
299,102171.81,147602.91,272.51,83502.28,220.59,75410.25,220.3
300,55263.87,44232.89,214.6,46127.76,203.32,75430.95,206.63
301,17903.92,19992.41,195.94,1182.66,180.29,32536.7,186.23
303,13860.3,8839.38,178.88,10955.36,179.66,21786.16,185.05
304,115730.81,86619.84,219.34,97082.99,189.68,163489.59,241.85
309,7021.01,4934.47,188.45,5172.35,159.88,10956.23,187.43
310,7198.8,4820.67,188.48,5361.0,160.27,11414.72,187.46
314,11238.6,7264.02,181.53,8479.44,182.33,17972.33,199.6
316,7856.44,5210.54,186.05,6459.33,160.5,11899.44,196.92
317,14163.7,9576.82,188.35,11397.22,187.27,21517.05,201.69
319,15304.07,10733.76,188.95,12406.95,190.57,22771.49,202.3
320,10666.27,7693.82,187.39,8793.54,185.92,15511.45,198.75
323,7878.48,4992.35,193.63,6271.17,172.66,12371.92,196.07
324,11426.86,8165.64,176.19,5156.81,191.45,20958.14,185.11
325,12424.73,8165.22,187.93,11044.77,198.14,18064.19,197.62
326,11209.12,7551.69,187.3,9267.67,185.77,16808.02,199.38
328,8753.92,5828.06,177.24,6931.26,178.1,13502.43,180.95
329,258165.54,392656.47,321.47,215668.52,267.31,166171.62,245.43
330,9763.94,6185.76,177.43,7861.66,209.09,15244.39,181.84
334,7167.76,5168.74,186.49,4934.93,159.68,11399.6,196.94
336,8640.44,6074.47,187.03,6548.47,160.6,13298.37,197.89
339,11090.17,7669.49,190.03,8565.95,162.18,17035.07,190.25
340,21009.65,13606.07,189.25,15641.13,195.97,33781.75,206.96
341,49281.17,32351.58,190.68,39054.8,194.28,76437.12,209.94
343,14668.8,9870.46,179.41,12037.41,180.53,22098.53,185.15
346,8261.23,6232.65,187.45,4460.7,207.73,14090.35,196.78
347,13418.36,10239.28,191.3,10300.57,163.0,19715.23,191.58
348,21604.5,14337.46,189.46,16833.37,197.94,33642.67,205.71
349,8239.5,5070.96,184.37,6328.96,191.72,13318.58,195.86
351,9450.4,6310.29,189.36,7153.29,161.33,14887.61,189.19
352,64522.77,55789.51,206.14,37685.6,167.36,100093.2,217.77
353,43985.31,40001.61,205.32,5968.75,151.26,85985.58,209.52
355,9909.18,5229.56,193.53,9284.39,174.16,15213.59,197.39
356,12721.22,8795.21,188.31,9734.36,163.74,19634.08,200.97
357,13133.92,8913.16,183.15,10505.97,153.6,19982.63,182.18
358,5816.11,4269.67,181.06,2236.95,149.26,10941.7,177.76
359,11736.66,7735.74,199.25,9842.79,197.22,17631.45,196.97
361,101573.08,105408.78,233.32,105199.28,208.36,94111.16,234.82
363,11340.88,7423.84,178.1,9147.31,179.01,17451.51,182.96
364,125398.6,93121.99,218.31,111003.48,227.21,172070.34,247.64
365,9248.58,6366.53,177.67,7529.44,178.15,13849.76,181.13
366,13720.79,8775.65,183.45,10831.35,192.06,21555.38,185.54
375,20502.47,13053.87,190.55,16607.69,214.11,31845.87,205.33
376,24259.58,19331.65,193.75,15928.6,165.5,37518.48,209.6
377,9779.22,6411.35,194.16,7395.23,173.16,15531.08,197.55
381,9843.64,6104.82,197.69,7875.02,204.93,15551.09,197.81
382,20819.86,14453.44,190.88,16097.4,204.97,31908.75,206.77
383,13300.4,8892.06,196.02,11345.59,165.39,19663.55,185.28
384,9555.21,5909.36,184.57,7458.07,193.17,15298.19,196.77
385,12971.11,8234.01,185.86,9326.95,193.75,21352.36,199.76
386,10160.87,6315.07,184.2,7649.93,193.56,16517.61,182.01
388,10604.65,7388.81,188.75,7662.79,146.77,16762.36,180.46
389,7593.86,5103.76,188.68,5965.96,160.62,11711.87,187.73
393,7270.93,4645.58,183.37,5467.85,184.56,11699.36,179.6
395,19038.22,14626.31,191.36,14811.19,164.93,27677.16,204.91
397,13283.35,8830.08,183.13,10328.77,177.18,20691.21,184.03
398,9563.77,6429.83,181.77,7636.13,175.97,14625.35,181.13
400,11334.15,8834.24,189.52,8533.82,162.17,16634.39,180.4
403,71125.87,52037.53,206.76,61147.09,200.78,100192.99,235.18
404,46128.05,31244.65,197.26,36074.51,208.6,71065.01,222.74
405,12553.27,8669.65,185.78,10107.79,201.43,18882.37,198.53
406,9170.5,5803.32,184.0,7021.33,193.23,14686.86,181.08
407,10904.7,7752.14,197.14,8910.96,163.99,16051.01,183.87
408,8383.1,5623.2,198.79,6008.07,194.7,13518.03,194.54
411,14735.06,9982.47,191.11,11651.35,163.24,22571.37,193.4
412,13129.21,8964.31,190.61,9996.8,162.55,20426.52,192.26
413,13226.8,9275.13,188.56,11355.81,197.5,19049.45,197.27
414,7147.67,4133.71,185.83,5517.66,195.22,11791.63,194.0
417,22593.6,15328.41,198.77,16600.01,178.01,35852.39,207.41
418,63127.82,50117.97,205.49,38282.99,209.38,100982.48,220.82
419,15391.55,11004.97,196.55,12407.84,175.81,22761.85,201.1
422,14538.19,9454.79,179.17,11688.08,180.03,22471.69,185.36
423,11275.97,7313.01,177.98,9244.73,179.04,17270.17,182.86
424,8925.37,6216.43,177.49,7402.37,178.07,13157.32,180.81
425,7643.71,5161.45,196.22,6078.91,162.88,11690.78,181.41
426,13211.39,9097.63,189.62,9550.86,147.75,20985.7,182.53
432,11188.39,7538.75,182.25,8765.35,176.14,17261.08,182.38
434,9838.1,6092.89,182.2,8207.78,190.67,15213.63,182.4
436,10067.75,6976.55,195.04,8486.72,164.12,14739.99,178.85
437,6971.02,4172.78,176.52,5389.54,177.1,11350.75,179.88
438,9080.88,5663.76,180.46,6745.95,182.7,14832.92,197.99
439,10173.53,6406.8,181.0,7940.78,182.7,16173.02,198.72
440,40049.78,26797.32,204.62,30647.99,185.24,62704.02,219.76
441,8817.15,5937.43,193.95,6510.43,172.73,14003.59,196.82
444,27879.6,18472.19,187.35,21236.22,188.67,43930.37,212.08
445,12449.18,8540.81,182.2,9537.21,183.23,19269.52,200.29
446,6749.53,4632.79,187.13,4988.45,160.56,10627.34,177.44
450,12196.0,8451.57,188.24,9072.4,161.9,19064.04,200.71
454,7585.2,4866.12,181.18,6235.39,171.27,11654.08,178.02
456,19346.89,12056.66,199.21,15102.76,189.29,30881.26,203.35
457,7185.54,4511.78,181.29,5579.84,189.43,11465.02,180.54
460,32184.84,21109.06,208.6,27472.67,206.71,47972.79,211.28
461,24249.46,18375.2,204.56,23614.87,218.73,30758.3,205.8
463,6819.71,4318.93,180.04,5071.35,180.16,11068.83,196.19
464,9754.02,6572.29,181.93,7770.31,172.26,14919.46,179.68
465,6799.01,4242.42,179.6,5025.24,181.8,11129.37,196.15
466,13791.43,8869.32,185.85,10601.32,195.17,21903.65,184.57
467,57429.31,43295.14,205.11,47004.45,202.08,81988.34,229.53
469,8291.2,5174.91,177.46,6743.29,176.17,12955.41,180.42
470,12553.02,7902.76,185.19,8916.25,186.59,20840.07,184.15
472,120798.2,152271.22,239.74,170908.03,287.95,39215.35,207.68
475,93145.61,77837.55,215.27,90014.14,222.0,111585.15,241.42
476,10037.43,7181.04,181.48,7838.58,182.32,15092.66,198.17
477,49696.37,32585.47,188.49,35438.46,226.8,81065.18,226.46
478,20043.69,12779.66,185.42,15322.44,194.63,32028.96,190.56
479,11236.05,7111.4,181.86,9193.04,193.33,17403.7,183.67
480,10494.12,6739.54,182.1,8413.76,191.41,16329.06,183.04
481,18307.02,11977.99,185.63,14368.72,187.08,28574.35,188.83
482,9575.82,6501.53,182.34,7876.48,190.49,14349.46,181.96
484,62363.23,52881.17,210.19,53452.26,185.54,80756.27,229.1
486,40528.2,25137.25,194.28,32402.57,206.56,64044.77,219.64
488,32108.54,21780.1,192.56,27297.33,204.2,47248.2,212.04
489,15277.61,10052.33,187.01,12154.27,195.04,23626.24,200.89
490,11516.48,7664.63,183.94,9469.15,194.24,17415.67,197.81
499,10804.02,6811.35,184.69,8081.17,194.38,17519.54,197.86
501,15984.17,9695.21,195.89,12051.58,175.66,26205.71,202.8
