StarID,AverageFlux,Ks1Flux,Ks1Fluxerr,Ks2Flux,Ks2Fluxerr
300022,139804.18,172116.91,276.82,107491.45,202.36
300054,138634.46,144592.17,250.51,132676.75,232.65
300057,92442.56,118057.67,239.83,66827.45,198.02
300097,73679.58,67054.49,213.26,80304.66,207.84
300099,48542.11,43933.43,202.56,53150.79,197.24
300101,73046.4,66970.09,213.12,79122.71,209.89
300136,60744.04,54497.37,218.58,66990.72,224.17
300158,98074.02,121741.31,242.88,74406.73,215.42
300180,46752.32,73032.21,229.73,20472.42,158.34
300190,96481.72,105690.1,237.97,87273.34,211.75
300191,68471.9,63149.65,217.36,73794.15,206.64
300208,196562.59,215029.89,278.27,178095.28,259.49
300220,177538.33,184332.91,267.11,170743.75,256.88
300240,110532.77,104883.35,236.36,116182.2,239.39
300288,57410.68,51295.19,210.69,63526.17,202.6
300361,142192.32,161339.09,266.63,123045.54,204.39
300363,119112.16,144565.72,257.39,93658.6,187.65
300401,55595.54,51277.86,206.03,59913.23,199.63
300559,28429.92,11839.96,193.36,45019.87,197.7
300574,95508.81,86198.14,229.94,104819.48,236.42
300593,74142.37,88699.3,234.16,59585.43,172.81
300594,110650.13,116030.66,245.81,105269.59,192.46
300623,135003.93,142739.25,252.1,127268.61,235.94
300642,168631.7,174974.34,264.34,162289.06,256.4
300647,133844.4,143215.7,253.67,124473.1,259.94
300729,86674.94,80723.16,224.09,92626.73,214.78
300757,109776.62,122650.18,248.54,96903.07,189.01
300791,149398.18,154133.37,269.76,144662.98,217.08
300823,43891.62,24774.69,199.71,63008.55,208.12
300861,127505.71,134419.94,247.87,120591.49,227.61
300873,81362.82,71764.89,220.57,90960.75,218.52
300917,111551.55,118281.71,246.74,104821.4,192.27
300935,167067.39,190301.23,272.01,143833.55,252.53
300948,204042.25,223233.44,288.56,184851.06,271.56
300956,151438.93,145245.8,257.48,157632.06,261.0
300995,171417.02,214120.17,292.49,128713.86,210.88
301046,71514.3,66763.49,217.93,76265.11,207.86
301071,83505.48,78134.88,237.87,88876.08,194.53
301107,68603.6,63417.86,220.86,73789.34,215.53
301110,171196.07,202025.47,277.22,140366.67,244.27
301122,74800.72,69110.27,217.45,80491.16,206.85
301142,140988.41,160211.28,265.44,121765.55,204.42
301145,141063.58,123320.8,248.64,158806.36,261.46
301152,194788.09,205291.87,280.67,184284.3,266.97
301154,194976.16,208809.16,281.48,181143.16,270.34
301168,145382.45,179746.16,270.16,111018.73,197.66
301172,135450.57,171054.75,266.54,99846.4,191.45
301209,178453.96,205406.66,273.19,151501.27,249.45
301220,111077.66,103362.86,240.41,118792.45,245.11
301243,105616.29,99095.64,227.33,112136.95,222.94
301283,135778.13,149961.56,262.14,121594.7,203.76
301285,141011.57,172565.73,268.59,109457.4,215.3
301288,29487.97,52790.37,216.22,6185.56,151.14
301298,95484.14,114752.65,248.46,76215.63,186.12
301304,145216.16,179541.03,273.55,110891.29,199.45
301308,145264.7,181379.2,274.24,109150.19,198.75
301311,105792.24,114438.03,245.14,97146.45,189.11
301315,112096.9,118392.13,240.06,105801.68,221.54
301318,131757.89,141254.8,249.22,122260.99,228.26
301333,78519.14,102739.38,242.62,54298.9,178.47
301390,102287.77,93887.91,236.72,110687.63,233.61
301392,184749.61,196309.36,277.39,173189.86,258.76
301395,170557.2,180872.64,271.67,160241.75,254.21
301413,171464.86,182936.08,260.47,159993.64,241.21
301417,56893.98,51714.45,206.16,62073.52,200.77
301418,51477.55,46649.8,203.81,56305.3,198.08
301421,167169.9,175636.78,257.58,158703.02,241.57
301444,78420.27,73611.84,222.81,83228.7,199.51
301465,166131.86,173002.09,265.26,159261.62,258.62
301508,56391.56,52204.39,206.27,60578.74,200.09
301554,182204.63,199291.67,274.97,165117.59,261.33
301565,102192.72,129097.46,259.66,75287.98,188.61
301567,172423.26,214063.77,292.48,130782.76,211.69
301573,116929.78,127434.93,243.79,106424.63,220.98
301580,111823.34,122635.08,241.87,101011.59,218.68
301667,144934.48,120232.75,247.52,169636.22,265.12
301685,144156.67,138490.53,251.83,149822.81,255.28
301686,122853.97,129700.05,246.14,116007.9,240.82
301689,204947.69,237547.48,286.25,172347.89,257.06
301708,191701.87,222141.88,280.85,161261.86,252.55
301758,115997.47,107831.18,239.18,124163.76,244.85
301760,81563.97,67367.93,220.04,95760.02,246.21
301780,77896.79,70468.45,222.95,85325.14,225.04
301790,180893.32,236005.81,300.36,125780.84,209.71
301828,102204.16,130331.96,251.69,74076.35,179.28
301847,147901.55,187687.33,282.76,108115.77,202.61
301871,189866.2,217056.06,272.57,162676.34,243.1
301889,48924.56,44470.32,207.37,53378.8,198.11
301894,132530.89,144113.78,259.17,120947.99,203.92
301929,182020.84,205381.94,277.07,158659.75,259.84
301960,126102.5,133883.56,252.07,118321.43,202.61
301962,139408.93,181049.11,270.5,97768.75,192.93
301965,143622.16,164234.27,265.85,123010.05,204.38
302003,74537.28,69467.28,225.57,79607.28,227.24
302042,84683.88,108582.26,242.72,60785.49,173.36
302043,61790.71,57778.13,220.27,65803.3,175.61
302101,73539.99,68264.14,218.59,78815.84,209.26
302102,67036.32,62306.5,215.89,71766.14,205.55
302104,137733.22,149755.84,254.89,125710.59,235.41
302108,116376.5,85673.31,219.97,147079.69,236.89
302152,139396.05,147110.08,253.52,131682.02,238.68
302223,38372.57,34502.02,202.63,42243.12,192.63
302230,93087.78,110840.09,243.63,75335.47,179.82
302236,44256.95,40285.21,204.4,48228.68,190.75
302238,75892.99,70925.59,218.63,80860.39,205.88
302250,129499.8,167501.87,268.96,91497.72,191.39
302299,138076.7,150289.02,254.43,125864.37,229.7
302320,123449.12,141811.88,256.3,105086.36,192.38
302330,196174.37,227204.28,282.64,165144.47,254.17
302342,127278.31,135887.42,246.15,118669.2,221.72
302344,66775.94,74900.47,219.77,58651.41,202.48
302356,186608.1,204143.25,274.36,169072.95,246.7
302432,56078.63,51590.78,214.24,60566.47,217.54
302434,181100.03,208102.61,278.16,154097.45,256.79
302451,191068.34,214847.7,278.92,167288.97,262.82
302454,69639.12,64054.92,220.01,75223.32,223.73
302461,166253.36,187599.48,282.67,144907.23,217.18
302492,165973.3,174467.66,277.68,157478.94,221.94
302532,48820.96,44015.89,206.1,53626.03,198.51
302534,93414.77,136288.02,254.1,50541.52,168.66
302538,112438.34,137847.64,254.73,87029.04,184.86
302544,54195.21,48279.81,204.64,60110.6,198.87
302545,61696.84,56216.68,207.76,67177.0,202.59
302547,196230.47,233054.34,278.35,159406.59,241.0
302548,95428.57,86543.72,221.98,104313.42,218.94
302560,120919.54,110745.31,243.36,131093.77,250.44
302577,193135.73,210157.17,281.89,176114.28,267.82
302580,120659.18,144363.45,257.34,96954.91,189.03
302657,166401.86,192725.53,271.39,140078.19,230.53
302679,171070.56,179321.75,267.54,162819.38,260.01
302710,143545.44,172344.55,268.54,114746.33,217.6
302756,108471.68,103487.61,235.78,113455.76,231.35
302770,138954.58,132884.8,252.56,145024.36,255.74
302775,122290.11,147732.7,260.55,96847.52,194.61
302792,88166.86,79391.58,218.86,96942.13,215.3
302807,104792.82,96719.09,237.96,112866.56,240.47
302809,102565.53,97145.12,238.09,107985.94,232.33
302911,83276.39,78101.13,229.66,88451.66,228.92
302919,63885.84,57713.75,209.01,70057.93,203.74
302963,137916.74,143068.81,251.65,132764.67,231.04
302969,142937.02,150846.28,254.87,135027.75,232.08
303057,40100.15,13695.79,194.57,66504.51,207.9
303060,178526.66,188895.44,268.64,168157.89,262.48
303069,102356.62,97063.92,229.72,107649.32,233.94
303086,199168.23,226015.48,282.28,172320.97,256.81
