StarID,MagY,SNY,MagZ,SNZ,MagJ,SNJ,MagH,SNH,MagKs1,SNKs1,MagKs2,SNKs2,MagKs3,SNKs3
300005,14.69,191.32,15.3,146.33,14.73,228.62,13.29,324.78,12.84,197.65,12.8,254.43,,
300006,15.9,67.81,16.35,59.06,16.0,75.76,14.6,104.63,14.41,50.39,14.4,64.6,,
300010,14.6,205.5,15.2,159.5,14.58,246.33,13.09,363.77,12.68,223.92,12.66,257.03,,
300011,15.79,74.19,16.34,59.86,15.78,87.46,14.27,132.41,13.91,78.03,13.9,89.48,,
300015,15.83,71.33,16.1,74.07,16.14,63.2,15.04,66.7,14.89,32.31,14.92,36.09,,
300020,16.31,46.48,16.75,41.29,16.35,54.08,14.97,75.31,14.65,37.84,14.72,52.88,,
300021,15.48,96.95,15.94,84.81,15.67,99.76,14.31,136.51,14.0,68.1,14.09,92.51,,
300022,12.53,924.36,13.2,694.27,13.47,603.57,13.46,282.77,11.28,621.77,11.93,531.2,,
300023,15.98,62.1,16.54,50.01,16.03,72.26,14.6,105.49,14.25,54.51,14.33,74.79,,
300024,15.18,124.88,15.81,94.71,15.23,146.3,13.66,238.29,13.21,135.31,13.34,176.48,,
300025,16.19,51.49,16.71,42.97,16.21,61.31,14.73,93.62,14.34,50.26,14.47,66.08,,
300027,16.16,52.97,16.63,45.91,16.18,63.02,14.8,88.17,14.43,46.05,14.53,62.27,,
300028,16.03,59.65,16.53,50.27,16.04,71.8,14.62,103.37,14.21,56.52,14.3,76.51,,
300029,14.74,181.36,14.87,206.73,15.07,167.69,14.08,166.41,13.55,101.25,13.82,116.69,,
300030,16.09,56.69,16.58,48.06,16.12,64.63,14.59,100.78,14.36,51.48,14.32,63.62,,
300031,16.22,50.51,16.79,39.89,16.26,57.17,14.83,81.76,14.53,44.36,14.44,57.34,,
300032,15.76,75.6,16.3,61.85,15.78,90.04,14.21,148.05,13.88,75.35,13.89,109.4,,
300037,15.93,62.66,16.11,64.35,16.17,64.6,14.76,88.95,14.5,45.35,14.54,65.38,,
300043,16.23,49.94,16.69,43.51,16.33,55.13,14.86,83.12,14.68,36.91,14.79,49.51,,
300045,16.1,56.58,16.61,46.97,16.17,61.64,14.77,85.26,14.48,46.7,14.43,55.9,,
300052,15.95,61.52,16.25,56.8,16.3,57.03,15.14,62.86,14.93,30.6,15.01,43.06,,
300054,12.83,739.17,13.02,744.86,13.4,624.47,13.53,255.93,11.47,577.19,11.7,570.29,,
300055,16.0,59.08,16.36,54.84,16.24,58.72,14.88,77.89,14.63,41.48,14.62,51.1,,
300057,12.83,740.96,13.43,567.98,13.66,515.89,13.38,291.24,11.69,492.26,12.45,337.48,,
300059,14.32,256.42,14.42,294.93,14.88,198.44,13.93,183.66,13.8,88.01,13.78,110.95,,
300061,16.26,49.66,16.74,42.3,16.32,56.74,14.9,81.66,14.68,39.67,14.65,49.89,,
300069,16.21,51.03,16.71,42.54,16.33,55.67,14.92,76.23,14.66,40.88,14.64,52.22,,
300071,15.35,109.18,15.56,116.67,15.93,79.09,14.98,71.9,14.84,34.26,14.88,42.39,,
300072,16.18,51.73,16.67,43.38,16.36,54.33,14.89,80.36,14.63,39.72,14.65,57.67,,
300074,14.31,256.97,14.92,194.6,14.44,288.16,13.08,385.52,12.49,256.05,12.54,344.1,,
300076,14.94,153.13,15.41,130.18,15.09,166.9,13.58,254.65,13.28,131.56,13.34,179.75,,
